"Date","Title","Price","No of Rating","Manufacturer","ASIN","Best_Seller_In","Sold By","Rating","International Ratings","Global Rating","Url"
"2022-12-27","DEEFILL M12 x 1.5 Magnetic Oil Drain Plug, Stainless Steel Sump Drain Nut Bolt with Copper Crush Washer Compatible with BMW, Benz","","36 ratings","","B09NWFCVXM","","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","36 global ratings","https://www.amazon.sg/DEEFILL-Magnetic-Stainless-Copper-Compatible/dp/B09NWFCVXM/ref=zg_bs_automotive_sccl_17/357-1402573-5534539?psc=1"
"2022-12-27","COSPEITA - M12 x 1.5 Forged Steel Magnetic Oil Drain Plug Sump Drain Bolt, with 3PCS Gasket Crush Washer Replacement for BMW, Benz (M12 X 1.5)","","4 ratings","CARSPAI","B0B6547Y1B","","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","4 global ratings","https://www.amazon.sg/COSPEITA-Forged-Magnetic-Gasket-Replacement/dp/B0B6547Y1B/ref=zg_bs_automotive_sccl_18/357-1402573-5534539?psc=1"
"2022-12-27","BougeRV 2 Inch Trailer Hitch Tube Cover Plug Cap Rubber Fits 2 Inch Receivers Class 3 4 5 for Toyota Ford Jeep Chevrolet Nissan Dodge Ram Porsche Mercedes Benz Polaris Ranger ATV UTV Polaris","","5,856 ratings","BougeRV","B073TV3JV6","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","5,856 global ratings","https://www.amazon.sg/BougeRV-Trailer-Receivers-Chevrolet-Mercedes/dp/B073TV3JV6/ref=zg_bs_automotive_sccl_19/357-1402573-5534539?psc=1"
"2022-12-27","Daytona HIGHSIDER 98581 Motorcycle Rod Mirror, One Side, 0.4 inch (10 mm) Positive/Reverse Screws, ECE Standard, Clear, Montana Black","S$71.13","18 ratings","デイトナ(Daytona)","B07DCDKYV7","","Amazon Japan","","There are 0 reviews and 0 ratings from Singapore","18 global ratings","https://www.amazon.sg/Daytona-HIGHSIDER-98581-Motorcycle-Positive/dp/B07DCDKYV7/ref=zg_bs_automotive_sccl_20/357-1402573-5534539?psc=1"
"2022-12-27","ZQULOYO Rear Seat Back Cover Backrest Protector for BMW X3 Accessories 2018-2022 with Hook&Loop All Weather Split Dog Liner Pet Mat Cargo Trunk Liner 3 PCS","","1 rating","FJSJ","B0B6QYVBFH","","","","There are 0 reviews and 0 ratings from Singapore","1 global rating","https://www.amazon.sg/ZQULOYO-Backrest-Protector-Accessories-2018-2022/dp/B0B6QYVBFH/ref=zg_bs_automotive_sccl_21/357-1402573-5534539?psc=1"
"2022-12-27","Chemical Guys MIC_1995 Woolly Mammoth Microfiber Dryer Towel (25 in. x 36 in.)","","3,880 ratings","Chemical Guys","B0042Z0LEO","","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","3,880 global ratings","https://www.amazon.sg/Chemical-Guys-MIC_1995-Mammoth-Microfiber/dp/B0042Z0LEO/ref=zg_bs_automotive_sccl_22/357-1402573-5534539?psc=1"
"2022-12-27","TADAFA Motorcycle Handlebar Switch,Made of Aluminum,Perfect for 7/8 or 1 inch Handlebars, Headlight Fog ON Off Start Kill Horn Lock Reset Turn Signal Control Button (Fits 1 inch Handlebars, Black)","","29 ratings","TADAFA","B09VLD3PFH","","","","There are 0 reviews and 0 ratings from Singapore","29 global ratings","https://www.amazon.sg/TADAFA-Motorcycle-Handlebar-Handlebars-Headlight/dp/B09VLD3PFH/ref=zg_bs_automotive_sccl_23/357-1402573-5534539?psc=1"
"2022-12-27","BLAK, Semi-Permanent, Color Restoration, Ceramic Hybrid for Tires, Plastic, Rubber, and Vinyl Color, Weather-Proof, UV Block, Dry-Seal","","1,043 ratings","RENEW PROTECT : : The Original Since 2007","B007MGIPTS","","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,043 global ratings","https://www.amazon.sg/Semi-Permanent-Restoration-Ceramic-Weather-Proof-Dry-Seal/dp/B007MGIPTS/ref=zg_bs_automotive_sccl_24/357-1402573-5534539?psc=1"
"2022-12-27","Windshield Crack Repair Kit - Windshield Repair Kit for Glass,Windshield Crack Repair, Windscreen Repair Kit for Chips, Cracks, Star-Shaped Crack A/v","","","","B0BMYNM71N","","","","","","https://www.amazon.sg/Windshield-Crack-Repair-Kit-Star-Shaped/dp/B0BMYNM71N/ref=zg_bs_automotive_sccl_25/357-1402573-5534539?psc=1"
"2022-12-27","4 Point Docking Hardware Kit for Harley Electra Glide Road Glide 2014-2022 (Gross Black)","","218 ratings","HARVARDS CHROME","B08V129SSP","","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","218 global ratings","https://www.amazon.sg/Docking-Hardware-Harley-Electra-2014-2022/dp/B08V129SSP/ref=zg_bs_automotive_sccl_26/357-1402573-5534539?psc=1"
"2022-12-27","Benlari Detachable Sissy Bar Passenger Backrest Rear Pad 2009-2022 Compatible for Harley Davidson Touring Street Glide Road Glide Electra Glide Road King CVO (Gloss Black Standard Upright Sissy Bar)","","56 ratings","Benlari","B09TT7BYYP","","","","There are 0 reviews and 0 ratings from Singapore","56 global ratings","https://www.amazon.sg/Benlari-Detachable-Passenger-2009-2022-Compatible/dp/B09TT7BYYP/ref=zg_bs_automotive_sccl_27/357-1402573-5534539?psc=1"
"2022-12-27","Benlari Gloss Black Detachable Luggage Rack 2-Up Mounting Rack Compatible for Harley Touring Road King Street Electra Glide 2009-2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010","","213 ratings","Benlari","B0922JGXWB","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","213 global ratings","https://www.amazon.sg/Benlari-Detachable-Mounting-Compatible-2009-2022/dp/B0922JGXWB/ref=zg_bs_automotive_sccl_28/357-1402573-5534539?psc=1"
"2022-12-27","Nihon Seiki DF14404 Defi Meter [DIN-Gauge] Red Index / Black Dial / Red Lighting","S$534.63","","","B00JLZJIEY","","Amazon Japan","","","","https://www.amazon.sg/Nihon-DF14404-Defi-DIN-Gauge-Lighting/dp/B00JLZJIEY/ref=zg_bs_automotive_sccl_29/357-1402573-5534539?psc=1"
"2022-12-27","TIRETEK Compact-Pro Tyre Inflator 12v Electric Air Tool Car Tyre Pump - Compressor for Car Tyres & Carry Case","","878 ratings","TIRETEK","B01NAGLNDY","","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","878 global ratings","https://www.amazon.sg/TIRETEK-Compact-Pro-Tyre-Inflator-Electric/dp/B01NAGLNDY/ref=zg_bs_automotive_sccl_30/357-1402573-5534539?psc=1"
"2022-12-27","Ritimsso Leather Car Remote Key Shell Case Cover for Volvo XC60 V60 S60 XC70 V40 Auto Accessories Key Holder with Keychain (Brown B)","","","Ritimsso","B08Z7H1S6Q","in Automotive Merchandise Key Rings","","","","","https://www.amazon.sg/Ritimsso-Leather-Remote-Accessories-Keychain/dp/B08Z7H1S6Q/ref=zg_bs_automotive_sccl_81/357-1402573-5534539?psc=1"
"2022-12-27","K&N Engine Air Filter: High Performance, Premium, Powersport Air Filter: Fits 1999-2009 YAMAHA (XVS1100 V-Star Classic, Custom, Midnight, Silverado, DragStar Classic, V-Star) YA-1199","","136 ratings","K&N Engineering","B000AP1MX4","","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","136 global ratings","https://www.amazon.sg/Engine-Air-Filter-Performance-Powersport/dp/B000AP1MX4/ref=zg_bs_automotive_sccl_82/357-1402573-5534539?psc=1"
"2022-12-27","Xiaomi Mi 1S Portable Air Pump, Black, One Size","","6,533 ratings","Xiaomi","B09JZWJ2QY","","","4.7 out of 5 stars","","6,533 global ratings","https://www.amazon.sg/Xiaomi-Portable-Pump-Black-Size/dp/B09JZWJ2QY/ref=zg_bs_automotive_sccl_83/357-1402573-5534539?psc=1"
"2022-12-27","AstroAI Windshield Cleaner, Microfiber Car Window Cleaner With 4 Reusable And Washable Microfiber Pads And Extendable Handle Auto Inside Glass Wiper Kit, Blue","","6,977 ratings","AstroAI","B08C7K99WW","","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","6,977 global ratings","https://www.amazon.sg/AstroAI-Windshield-Microfiber-Reusable-Extendable/dp/B08C7K99WW/ref=zg_bs_automotive_sccl_84/357-1402573-5534539?psc=1"
"2022-12-27","Ambipur Car Mini Clip Sky Breeze Car Air Freshener 2 x 2.2ml","","13 ratings","Procter & Gamble (Singapore) Pte Ltd","B07PBB87DS","","","","","13 global ratings","https://www.amazon.sg/Ambipur-Mini-Breeze-Freshener-2-2ml/dp/B07PBB87DS/ref=zg_bs_automotive_sccl_85/357-1402573-5534539?psc=1"
"2022-12-27","BMC (WA250-500) Automotive Air Filter Complete Wash Kit","","366 ratings","BMC","B009D3AOHE","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","366 global ratings","https://www.amazon.sg/BMC-WA250-500-Automotive-Air-Filter/dp/B009D3AOHE/ref=zg_bs_automotive_sccl_86/357-1402573-5534539?psc=1"
"2022-12-27","Viking Cotton Terry Wax Applicator Pads - 6 Pack","","9,206 ratings","Viking","B001Q8IXW2","","","4.6 out of 5 stars","","9,206 global ratings","https://www.amazon.sg/Viking-Cotton-Terry-Applicator-Pads/dp/B001Q8IXW2/ref=zg_bs_automotive_sccl_87/357-1402573-5534539?psc=1"
"2022-12-27","OEM Wiper Blades Replacement for Audi A4 Q5 Q3 RS5 S5 allroad 2009-2020 Original Equipment Replacement Windshield Wipers -24""/20"" (Set of 2) Top Lock 16mm","","8,963 ratings","AUTOBOO","B07T8GX584","in Car Windscreen Wiper Blades","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","8,963 global ratings","https://www.amazon.sg/Replacement-2009-2020-Original-Equipment-Windshield/dp/B07T8GX584/ref=zg_bs_automotive_sccl_88/357-1402573-5534539?psc=1"
"2022-12-27","Car-EyeQ 2800lms BA15S 7506 1156 LED Strobe Brake Lights Bulbs, Red 3497 97 93 1073L 1095 1141 1129 7533 7527 Flashing Stop Lamps Replacement","","3 ratings","Premium LEDs","B0959NYYBK","","","","","3 global ratings","https://www.amazon.sg/Car-EyeQ-2800lms-Strobe-Flashing-Replacement/dp/B0959NYYBK/ref=zg_bs_automotive_sccl_89/357-1402573-5534539?psc=1"
"2022-12-27","Meguiar G7164 Gold Class Car Wash Shampoo and Conditioner, 1.8L","","7,397 ratings","Meguiar's","B0009IQXFO","","","4.7 out of 5 stars","","7,397 global ratings","https://www.amazon.sg/Meguiar-G7164-Class-Shampoo-Conditioner/dp/B0009IQXFO/ref=zg_bs_automotive_sccl_90/357-1402573-5534539?psc=1"
"2022-12-27","Autoglym Hi-Tech Aqua-Dry Synthetic Chamois","S$21.91","2,355 ratings","Autoglym","B0011E08WE","","Amazon Japan","4.6 out of 5 stars","","2,355 global ratings","https://www.amazon.sg/Autoglym-Hi-Tech-Aqua-Dry-Synthetic-Chamois/dp/B0011E08WE/ref=zg_bs_automotive_sccl_91/357-1402573-5534539?psc=1"
"2022-12-27","Wekster Wide Mouth Fuel Funnel with Handle - Large Plastic Automotive Funnels, Long Flexible Spout Extension, Removable Mesh Screen Filter for Water, Gasoline, Coolant, Transmission, Engine Oil","","","Wekster","B07BFD85H4","","","","There are 0 reviews and 0 ratings from Singapore","","https://www.amazon.sg/Wekster-Wide-Mouth-Funnel-Handle/dp/B07BFD85H4/ref=zg_bs_automotive_sccl_92/357-1402573-5534539?psc=1"
"2022-12-27","3M Microfibre Cloth CAR WIPER (30X30CM)","","","3M","B0869V18T8","","","","","","https://www.amazon.sg/3M-Microfibre-Cloth-WIPER-30X30CM/dp/B0869V18T8/ref=zg_bs_automotive_sccl_93/357-1402573-5534539?psc=1"
"2022-12-27","Si-Plus Hybrid Windscreen Silicone Wiper Blade (26""-650mm (Pack of 1))","","2 ratings","Si-Tech","B0981F3K27","","","","","2 global ratings","https://www.amazon.sg/Si-Plus-Hybrid-Windscreen-Silicone-650mm/dp/B0981F3K27/ref=zg_bs_automotive_sccl_94/357-1402573-5534539?psc=1"
"2022-12-27","ARB 4x4 Accessories 170112 Differential Axle Breather Kit for drivetrain differentials, transmissions and transfer cases","","416 ratings","ARB","B00QBQYNF0","","","","There are 0 reviews and 0 ratings from Singapore","416 global ratings","https://www.amazon.sg/ARB-170112-Differential-differentials-transmissions/dp/B00QBQYNF0/ref=zg_bs_automotive_sccl_95/357-1402573-5534539?psc=1"
"2022-12-27","Motor Trend Premium FlexTough All-Protection Cargo Mat Liner – w/Traction Grips & Fresh Design, Heavy Duty Trimmable Trunk Liner for Car Truck SUV, Black (OF-985-BK)","","20,196 ratings","BDK","B07PWNGPR1","","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","20,196 global ratings","https://www.amazon.sg/Motor-Trend-Premium-FlexTough-All-Protection/dp/B07PWNGPR1/ref=zg_bs_automotive_sccl_96/357-1402573-5534539?psc=1"
"2022-12-27","Chemical Guys ACCG08 Wheelie All Exterior Surface and Wheel Brush","","2,102 ratings","Chemical Guys","B095DTBBVJ","","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","2,102 global ratings","https://www.amazon.sg/Chemical-Guys-ACCG08-Wheelie-Exterior/dp/B095DTBBVJ/ref=zg_bs_automotive_sccl_97/357-1402573-5534539?psc=1"
"2022-12-27","Fox Racing Men's Cycling Shorts (MATTE BLUE, 32)","","","Fox Racing","B08PQ84QP7","","","","","","https://www.amazon.sg/Fox-Racing-Cycling-Shorts-MATTE/dp/B08PQ84QP7/ref=zg_bs_automotive_sccl_98/357-1402573-5534539?psc=1"
"2022-12-27","Bullsone Grasse Diffuser, Natural Car Air Fresheners, Luxury Car Perfume - Jasmine & Bergarmot Scent","","13 ratings","Bullsone","B089YXCPN2","","","","There are 0 reviews and 0 ratings from Singapore","13 global ratings","https://www.amazon.sg/Bullsone-Diffuser-Natural-Fresheners-Perfume/dp/B089YXCPN2/ref=zg_bs_automotive_sccl_99/357-1402573-5534539?psc=1"
"2022-12-27","Lesleyye AC to DC Converter 12V 2A 24W Car Cigarette Lighter Socket 110-240V to 12V AC/DC Power Adapter","","13,557 ratings","Lesleyye","B07DWXRD5F","","","","There are 0 reviews and 0 ratings from Singapore","13,557 global ratings","https://www.amazon.sg/Lesleyye-Converter-Cigarette-Lighter-110-240V/dp/B07DWXRD5F/ref=zg_bs_automotive_sccl_100/357-1402573-5534539?psc=1"
